"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Websites\Prescripto\admin\src\pages\Admin\AddDoctor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 1, 37, 175
"d:\Websites\Prescripto\admin\src\pages\Admin\AllAppointments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 9, 129
"d:\Websites\Prescripto\admin\src\pages\Admin\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 14, 94
"d:\Websites\Prescripto\admin\src\pages\Admin\DoctorsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 7, 80
"d:\Websites\Prescripto\admin\src\pages\Doctor\DoctorAppointments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 8, 64
"d:\Websites\Prescripto\admin\src\pages\Doctor\DoctorDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 12, 80
"d:\Websites\Prescripto\admin\src\pages\Doctor\DoctorProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 2, 22, 108
"d:\Websites\Prescripto\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 14, 69
"d:\Websites\Prescripto\admin\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Websites\Prescripto\admin\tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18
"d:\Websites\Prescripto\admin\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Websites\Prescripto\admin\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Websites\Prescripto\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 3, 23
"d:\Websites\Prescripto\backend\config\appwrite.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\Websites\Prescripto\backend\config\cloudinary.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
